"","location_name","val","upper","lower","location"
"53","Kingdom of Saudi Arabia",1046.87,1243.89,888.89,"Saudi Arabia"
"54","Federative Republic of Brazil",230.23,275.16,187.96,"Brazil"
"55","Palestine",1177.9,1455.37,953.18,"Palestine"
"56","Republic of Colombia",313.79,375.82,265.84,"Colombia"
"57","State of Eritrea",355.46,448.28,276.68,"Eritrea"
"58","United Kingdom of Great Britain and Northern Ireland",208.18,248.9,168.76,"UK"
"59","State of Israel",232.41,287.86,184.48,"Israel"
"60","State of Qatar",1154.25,1450.54,899.81,"Qatar"
"61","Republic of Guinea-Bissau",444.21,558.49,348.55,"Guinea-Bissau"
"62","Republic of Côte d'Ivoire",423.46,503.8,343.07,"Ivory Coast"
"63","Republic of Zimbabwe",421.9,515.06,334.31,"Zimbabwe"
"64","Republic of Guinea",398.93,485.44,323.56,"Guinea"
"65","Republic of San Marino",235.92,300.54,184.24,"San Marino"
"66","People's Republic of Bangladesh",571.19,671.5,487.88,"Bangladesh"
"67","Guam",434.85,545.42,342.3,"Guam"
"68","Principality of Monaco",235.78,298.26,185.94,"Monaco"
"69","Togolese Republic",432.32,529.84,340.58,"Togo"
"70","United Arab Emirates",1153,1422.98,899.43,"United Arab Emirates"
"71","Portuguese Republic",113.39,135.68,94.9,"Portugal"
"72","Republic of Peru",264.39,323.21,214.73,"Peru"
"73","Republic of the Niger",374.54,460.89,298.7,"Niger"
"74","Republic of Zambia",340.88,418.28,268.85,"Zambia"
"75","Republic of Cuba",368.08,440.23,305.78,"Cuba"
"76","Republic of Yemen",1155.84,1374.01,989.65,"Yemen"
"77","Republic of the Gambia",453.51,569.63,351.38,"Gambia"
"78","Gabonese Republic",405.02,509.63,317.03,"Gabon"
"79","Cook Islands",433.42,551.63,334.39,"Cook Islands"
"80","Republic of Djibouti",397.79,505.57,308.72,"Djibouti"
"81","Republic of Kenya",388.27,490.78,302.06,"Kenya"
"82","Republic of Sudan",1141.7,1323.84,981.62,"Sudan"
"83","Republic of the Congo",423.84,524.57,333.59,"Republic of Congo"
"84","Kingdom of Norway",246.87,310.41,193.82,"Norway"
