id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
bbj-a-71,Atrial Fibrillation,8180,public,2019,Ishigaki K,NA,Males and Females,28416822,East Asian,NA,36792,HG19/GRCh37,28612,Binary,NA,NA,NA,1,5018048,,,,0,
bbj-a-72,Rheumatoid Arthritis,3636,public,2019,Ishigaki K,NA,Males and Females,24390342,East Asian,NA,19190,HG19/GRCh37,15554,Binary,NA,NA,NA,1,6619871,,,,0,
bbj-a-73,Rheumatoid Arthritis,2843,public,2019,Ishigaki K,NA,Males and Females,24390342,European,NA,8383,HG19/GRCh37,5540,Binary,NA,NA,NA,1,8747962,,,,0,
bbj-a-74,Rheumatoid Arthritis,3636,public,2019,Ishigaki K,NA,Males and Females,24390342,Mixed,NA,19190,HG19/GRCh37,15554,Binary,NA,NA,NA,1,9739303,,,,0,
bbj-a-75,Open-angle glaucoma,3980,public,2019,Ishigaki K,NA,Males and Females,29452408,East Asian,NA,22795,HG19/GRCh37,18815,Binary,NA,NA,NA,1,5961428,,,,0,
bbj-a-76,Colorectal Cancer,6692,public,2019,Ishigaki K,NA,Males and Females,29471430,East Asian,NA,33870,HG19/GRCh37,27178,Binary,NA,NA,NA,1,7492477,,,,0,
bbj-a-77,Type 2 Diabetes,36614,public,2019,Ishigaki K,NA,Males and Females,30718926,East Asian,NA,191764,HG19/GRCh37,155150,Binary,NA,NA,NA,1,12557761,,,,0,
bbj-a-78,Smoking behaviors : Smoking initiation,83810,public,2019,Ishigaki K,NA,Males and Females,31089300,East Asian,NA,165436,HG19/GRCh37,81626,Binary,NA,NA,NA,1,5961480,,,,0,
bbj-a-79,Smoking behaviors : Smoking initiation,67773,public,2019,Ishigaki K,NA,Males,31089300,East Asian,NA,89678,HG19/GRCh37,21905,Binary,NA,NA,NA,1,6127618,,,,0,
bbj-a-8,Aspartate aminotransferase,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,134154,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-80,Smoking behaviors : Smoking initiation,16077,public,2019,Ishigaki K,NA,Females,31089300,East Asian,NA,75798,HG19/GRCh37,59721,Binary,NA,NA,NA,1,6107626,,,,0,
