location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status
Malaysia,13,Female,5-9 years,30,,,,,not_estimable_constant_series
Malaysia,13,Female,<5 years,30,,,,,not_estimable_constant_series
Mongolia,38,Female,10-14 years,30,,,,,not_estimable_constant_series
Mongolia,38,Female,5-9 years,30,,,,,not_estimable_constant_series
Mongolia,38,Female,<5 years,30,,,,,not_estimable_constant_series
Montenegro,50,Female,10-14 years,30,,,,,not_estimable_constant_series
Montenegro,50,Female,5-9 years,30,,,,,not_estimable_constant_series
Montenegro,50,Female,<5 years,30,,,,,not_estimable_constant_series
New Zealand,72,Female,10-14 years,30,,,,,not_estimable_constant_series
New Zealand,72,Female,5-9 years,30,,,,,not_estimable_constant_series
New Zealand,72,Female,<5 years,30,,,,,not_estimable_constant_series
North Macedonia,49,Female,10-14 years,30,,,,,not_estimable_constant_series
North Macedonia,49,Female,5-9 years,30,,,,,not_estimable_constant_series
North Macedonia,49,Female,<5 years,30,,,,,not_estimable_constant_series
Northern Mariana Islands,376,Female,10-14 years,30,,,,,not_estimable_constant_series
Northern Mariana Islands,376,Female,5-9 years,30,,,,,not_estimable_constant_series
Northern Mariana Islands,376,Female,<5 years,30,,,,,not_estimable_constant_series
Palestine,149,Female,10-14 years,30,,,,,not_estimable_constant_series
Palestine,149,Female,5-9 years,30,,,,,not_estimable_constant_series
Palestine,149,Female,<5 years,30,,,,,not_estimable_constant_series
People's Democratic Republic of Algeria,139,Female,10-14 years,30,,,,,not_estimable_constant_series
People's Democratic Republic of Algeria,139,Female,5-9 years,30,,,,,not_estimable_constant_series
People's Democratic Republic of Algeria,139,Female,<5 years,30,,,,,not_estimable_constant_series
People's Republic of Bangladesh,161,Female,10-14 years,30,,,,,not_estimable_constant_series
People's Republic of Bangladesh,161,Female,5-9 years,30,,,,,not_estimable_constant_series
People's Republic of Bangladesh,161,Female,<5 years,30,,,,,not_estimable_constant_series
People's Republic of China,6,Female,10-14 years,30,,,,,not_estimable_constant_series
People's Republic of China,6,Female,5-9 years,30,,,,,not_estimable_constant_series
People's Republic of China,6,Female,<5 years,30,,,,,not_estimable_constant_series
Plurinational State of Bolivia,121,Female,10-14 years,30,,,,,not_estimable_constant_series
Plurinational State of Bolivia,121,Female,5-9 years,30,,,,,not_estimable_constant_series
Plurinational State of Bolivia,121,Female,<5 years,30,,,,,not_estimable_constant_series
Portuguese Republic,91,Female,10-14 years,30,,,,,not_estimable_constant_series
Portuguese Republic,91,Female,5-9 years,30,,,,,not_estimable_constant_series
Portuguese Republic,91,Female,<5 years,30,,,,,not_estimable_constant_series
Principality of Andorra,74,Female,10-14 years,30,,,,,not_estimable_constant_series
Principality of Andorra,74,Female,5-9 years,30,,,,,not_estimable_constant_series
Principality of Andorra,74,Female,<5 years,30,,,,,not_estimable_constant_series
Principality of Monaco,367,Female,10-14 years,30,,,,,not_estimable_constant_series
Principality of Monaco,367,Female,5-9 years,30,,,,,not_estimable_constant_series
Principality of Monaco,367,Female,<5 years,30,,,,,not_estimable_constant_series
Puerto Rico,385,Female,10-14 years,30,,,,,not_estimable_constant_series
Puerto Rico,385,Female,5-9 years,30,,,,,not_estimable_constant_series
Puerto Rico,385,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Albania,43,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Albania,43,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Albania,43,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Angola,168,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Angola,168,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Angola,168,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Armenia,33,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Armenia,33,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Armenia,33,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Austria,75,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Austria,75,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Austria,75,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Azerbaijan,34,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Azerbaijan,34,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Azerbaijan,34,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Belarus,57,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Belarus,57,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Belarus,57,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Benin,200,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Benin,200,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Benin,200,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Botswana,193,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Botswana,193,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Botswana,193,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Bulgaria,45,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Bulgaria,45,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Bulgaria,45,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Burundi,175,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Burundi,175,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Burundi,175,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Côte d'Ivoire,205,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Côte d'Ivoire,205,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Côte d'Ivoire,205,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Cabo Verde,203,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Cabo Verde,203,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Cabo Verde,203,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Cameroon,202,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Cameroon,202,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Cameroon,202,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Chad,204,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Chad,204,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Chad,204,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Chile,98,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Chile,98,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Chile,98,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Colombia,125,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Colombia,125,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Colombia,125,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Costa Rica,126,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Costa Rica,126,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Costa Rica,126,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Croatia,46,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Croatia,46,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Croatia,46,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Cuba,109,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Cuba,109,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Cuba,109,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Cyprus,77,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Cyprus,77,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Cyprus,77,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Djibouti,177,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Djibouti,177,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Djibouti,177,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Ecuador,122,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Ecuador,122,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Ecuador,122,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of El Salvador,127,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of El Salvador,127,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of El Salvador,127,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Equatorial Guinea,172,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Equatorial Guinea,172,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Equatorial Guinea,172,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Estonia,58,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Estonia,58,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Estonia,58,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Fiji,22,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Fiji,22,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Fiji,22,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Finland,79,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Finland,79,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Finland,79,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Ghana,207,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Ghana,207,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Ghana,207,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Guatemala,128,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Guatemala,128,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Guatemala,128,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Guinea,208,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Guinea,208,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Guinea,208,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Guinea-Bissau,209,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Guinea-Bissau,209,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Guinea-Bissau,209,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Guyana,113,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Guyana,113,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Guyana,113,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Haiti,114,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Haiti,114,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Haiti,114,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Honduras,129,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Honduras,129,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Honduras,129,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Iceland,83,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Iceland,83,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Iceland,83,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of India,163,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of India,163,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of India,163,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Indonesia,11,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Indonesia,11,Female,5-9 years,30,,,,,not_estimable_constant_series
Republic of Indonesia,11,Female,<5 years,30,,,,,not_estimable_constant_series
Republic of Iraq,143,Female,10-14 years,30,,,,,not_estimable_constant_series
Republic of Iraq,143,Female,5-9 years,30,,,,,not_estimable_constant_series
