location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status,weighted_fdr,bh_family
Republic of Mali,211,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Malta,88,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Mauritius,183,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Moldova,61,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Mozambique,184,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Namibia,195,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Nauru,369,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Nicaragua,131,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Niue,374,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Palau,380,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Panama,132,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Paraguay,136,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Peru,123,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Poland,51,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Rwanda,185,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of San Marino,396,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Senegal,216,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Serbia,53,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Seychelles,186,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Sierra Leone,217,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Singapore,69,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Slovenia,55,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of South Africa,196,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of South Sudan,435,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Sudan,522,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
Republic of Suriname,118,Female,10-14 years,30,,,,,not_estimable_constant_series,,Descriptive weighted country-age temporal correlations within Female (m=3468); not used to filter Figure 2E-F
