location_name,ISO3,longitude,latitude,small_island_excluded,inferential_unit,display_method,value_duplicated_across_polygons
Republic of Sudan,SDN,32.5265,15.6031,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Suriname,SUR,-55.2039,5.8522,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Tajikistan,TJK,68.78,38.5367,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Trinidad and Tobago,TTO,-61.4,10.5167,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Tunisia,TUN,10.1817,36.8064,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Turkey,TUR,28.955,41.0136,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Uganda,UGA,32.5811,0.3136,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Uzbekistan,UZB,69.2797,41.3111,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Vanuatu,VUT,168.3167,-17.7333,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of Yemen,YEM,44.2064,15.3483,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Zambia,ZMB,28.2833,-15.4167,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of Zimbabwe,ZWE,31.0522,-17.8292,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of the Congo,COG,15.2667,-4.2667,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of the Gambia,GMB,-16.5786,13.4581,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of the Marshall Islands,MHL,171.3833,7.0833,TRUE,one country or territory,recorded representative coordinate,FALSE
Republic of the Niger,NER,2.1175,13.515,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of the Philippines,PHL,120.9772,14.5958,FALSE,one country or territory,recorded representative coordinate,FALSE
Republic of the Union of Myanmar,MMR,96.16,16.795,FALSE,one country or territory,recorded representative coordinate,FALSE
Romania,ROU,26.1039,44.4325,FALSE,one country or territory,recorded representative coordinate,FALSE
Russian Federation,RUS,37.6175,55.7506,FALSE,one country or territory,recorded representative coordinate,FALSE
Saint Kitts and Nevis,KNA,-62.7333,17.3,TRUE,one country or territory,recorded representative coordinate,FALSE
Saint Lucia,LCA,-60.9894,14.0108,TRUE,one country or territory,recorded representative coordinate,FALSE
Saint Vincent and the Grenadines,VCT,-61.1928,13.1308,TRUE,one country or territory,recorded representative coordinate,FALSE
Slovak Republic,SVK,17.1128,48.1447,FALSE,one country or territory,recorded representative coordinate,FALSE
Socialist Republic of Viet Nam,VNM,106.7019,10.7756,FALSE,one country or territory,recorded representative coordinate,FALSE
Solomon Islands,SLB,159.95,-9.4333,TRUE,one country or territory,recorded representative coordinate,FALSE
State of Eritrea,ERI,38.9411,15.3358,FALSE,one country or territory,recorded representative coordinate,FALSE
State of Israel,ISR,35.2256,31.7789,FALSE,one country or territory,recorded representative coordinate,FALSE
State of Kuwait,KWT,47.9783,29.3697,FALSE,one country or territory,recorded representative coordinate,FALSE
State of Libya,LBY,13.1914,32.8872,FALSE,one country or territory,recorded representative coordinate,FALSE
State of Qatar,QAT,51.5333,25.2867,FALSE,one country or territory,recorded representative coordinate,FALSE
Sultanate of Oman,OMN,58.5911,23.614,FALSE,one country or territory,recorded representative coordinate,FALSE
Swiss Confederation,CHE,8.5411,47.3744,FALSE,one country or territory,recorded representative coordinate,FALSE
Syrian Arab Republic,SYR,36.2981,33.502,FALSE,one country or territory,recorded representative coordinate,FALSE
Taiwan (Province of China),TWN,120.6794,24.1439,FALSE,one country or territory,recorded representative coordinate,FALSE
Togolese Republic,TGO,1.2153,6.1308,FALSE,one country or territory,recorded representative coordinate,FALSE
Tokelau,TKL,-172.51591,-8.54212,TRUE,one country or territory,recorded representative coordinate,FALSE
Turkmenistan,TKM,58.38,37.9375,FALSE,one country or territory,recorded representative coordinate,FALSE
Tuvalu,TUV,179.2,-8.5167,TRUE,one country or territory,recorded representative coordinate,FALSE
Ukraine,UKR,30.5233,50.45,FALSE,one country or territory,recorded representative coordinate,FALSE
Union of the Comoros,COM,44.3939,-12.1675,TRUE,one country or territory,recorded representative coordinate,FALSE
United Arab Emirates,ARE,55.2972,25.2631,FALSE,one country or territory,recorded representative coordinate,FALSE
United Kingdom of Great Britain and Northern Ireland,GBR,-0.1275,51.5072,FALSE,one country or territory,recorded representative coordinate,FALSE
United Mexican States,MEX,-99.1333,19.4333,FALSE,one country or territory,recorded representative coordinate,FALSE
United Republic of Tanzania,TZA,39.2803,-6.8161,FALSE,one country or territory,recorded representative coordinate,FALSE
United States Virgin Islands,VIR,-64.9331,18.342,TRUE,one country or territory,recorded representative coordinate,FALSE
United States of America,USA,-73.9249,40.6943,FALSE,one country or territory,recorded representative coordinate,FALSE
