"location_name","origin","specification","model","year","horizon","IHD_pred","DD_pred"
"State of Qatar",2021,"Harmonized","ARIMAX",2030,9,1047.6243753089,5077.56517820743
"Sultanate of Oman",2021,"Harmonized","ARIMAX",2030,9,1062.74746046924,5051.45058537957
"Swiss Confederation",2021,"Harmonized","ARIMAX",2030,9,146.99,4129.25120252141
"Syrian Arab Republic",2021,"Harmonized","ARIMAX",2030,9,1171.75166689119,5260.1966040907
"Taiwan (Province of China)",2021,"Harmonized","ARIMAX",2030,9,300.853370539263,1990.09546813076
"Togolese Republic",2021,"Harmonized","ARIMAX",2030,9,410.114204364187,5390.70768366033
"Tokelau",2021,"Harmonized","ARIMAX",2030,9,375.458751669738,2931.83019294606
"Turkmenistan",2021,"Harmonized","ARIMAX",2030,9,723.566970128028,3722.6606733935
"Tuvalu",2021,"Harmonized","ARIMAX",2030,9,387.400896346933,3101.11296200097
"Ukraine",2021,"Harmonized","ARIMAX",2030,9,728.72,5352.91335362044
"Union of the Comoros",2021,"Harmonized","ARIMAX",2030,9,334.860918754791,5036.76798595089
"United Arab Emirates",2021,"Harmonized","ARIMAX",2030,9,1081.8844360282,4682.74639536828
"United Kingdom of Great Britain and Northern Ireland",2021,"Harmonized","ARIMAX",2030,9,136.84,5713.09804475857
"United Mexican States",2021,"Harmonized","ARIMAX",2030,9,328.114302150007,4693.228929473
"United Republic of Tanzania",2021,"Harmonized","ARIMAX",2030,9,314.543335220917,5718.03797510019
"United States Virgin Islands",2021,"Harmonized","ARIMAX",2030,9,392.301079088024,3769.42772589614
"United States of America",2021,"Harmonized","ARIMAX",2030,9,514.375402930028,6321.93406987197
