location_name,IHD_to_DD_status,IHD_to_DD_p,IHD_to_DD_BG_p,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_p,DD_to_IHD_BG_p,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,direction
Kingdom of Eswatini,fit_ok,0.502527113725344,0.166181007658759,,fit_ok,0.000000000000000570700849508181,0.00756125375706065,,0.674888507351795,0.00000000000000163976018731928,DD_to_IHD
Kingdom of Lesotho,fit_ok,0.441717005522321,0.22563831404684,,fit_ok,0.00000000681968142130978,0.046170246648821,,0.674888507351795,0.0000000122036404381333,DD_to_IHD
Kingdom of Morocco,fit_ok,0.169060613782816,0.219102448131799,,fit_ok,0.0514205047202478,0.973647480100339,,0.648510394626042,0.0560950960584522,Neither
Kingdom of Norway,fit_ok,0.129828006091304,0.0692973460275806,,fit_ok,0.334382886159287,0.0842401585530329,,0.648510394626042,0.342784466213541,Neither
Kingdom of Saudi Arabia,fit_ok,0.569480501608008,0.516213536459624,,fit_ok,0.000000385394237902996,0.0274353830481613,,0.674888507351795,0.000000623971623271518,DD_to_IHD
Kingdom of Spain,fit_ok,0.0344701975570623,0.415667144182889,,fit_ok,0.00126543552418745,0.0402029614708192,,0.624638691003751,0.00160340898716919,DD_to_IHD
Kingdom of Sweden,fit_ok,0.200749500315152,0.00261086451409813,,fit_ok,0.0143931667724225,0.054531874759105,,0.648510394626042,0.0170709652417104,DD_to_IHD
Kingdom of Thailand,fit_ok,0.518475452626932,0.610370302111385,,fit_ok,0.0000000000239331944590749,0.0215572737631413,,0.674888507351795,0.0000000000488237166965128,DD_to_IHD
Kingdom of Tonga,fit_ok,0.595489859428055,0.116938042604049,,fit_ok,0.00000000970330695228727,0.0607454648296788,,0.674888507351795,0.0000000170644363643673,DD_to_IHD
Kingdom of the Netherlands,fit_ok,0.0897657934483751,0.0539220947759519,,fit_ok,0.000000000000000640637093274729,0.0238718933465061,,0.648510394626042,0.00000000000000181513843094507,DD_to_IHD
Kyrgyz Republic,fit_ok,0.967707576420745,0.0421065082419925,,fit_ok,0.000000000000000000000622233837862719,0.0280171193629164,,0.967707576420745,0.00000000000000000000362673436925699,DD_to_IHD
Lao People's Democratic Republic,fit_ok,0.348533315400894,0.2867365346556,,fit_ok,0.0000000000000419730132498692,0.0261507839995702,,0.648510394626042,0.000000000000101934460749682,DD_to_IHD
Lebanese Republic,fit_ok,0.25143395281039,0.00385646685715602,,fit_ok,0.000160559990333825,0.0989973790109054,,0.648510394626042,0.000215488408079607,DD_to_IHD
Malaysia,fit_ok,0.0472576797606568,0.213306072092011,,fit_ok,0.000115438027355615,0.0516646398164411,,0.643310528444996,0.000158049379735204,DD_to_IHD
Mongolia,fit_ok,0.0318567615919979,0.101043603631422,,fit_ok,0.0391857260064648,0.107680673694294,,0.624638691003751,0.0429778930393485,DD_to_IHD
Montenegro,fit_ok,0.645700900450724,0.756368290516084,,fit_ok,0.00000000000000000000000000131005129675403,0.157223993488243,,0.694691915352193,0.0000000000000000000000000445417440896371,DD_to_IHD
New Zealand,fit_ok,0.0499378947515102,0.0941999150711085,,fit_ok,0.00170037369505958,0.00946131798199817,,0.643310528444996,0.00212807505393959,DD_to_IHD
North Macedonia,fit_ok,0.394159282235172,0.888589509593377,,fit_ok,0.000000000000000000000000616153617425257,0.40287289008475,,0.648510394626042,0.00000000000000000000000785595862217202,DD_to_IHD
Northern Mariana Islands,fit_ok,0.561743191614822,0.00488893269100862,,fit_ok,0.00000142785588761285,0.000471784676479379,,0.674888507351795,0.00000225800465948079,DD_to_IHD
Palestine,fit_ok,0.208504410040756,0.0405687946809245,,fit_ok,0.0000000260154730058371,0.214445107919441,,0.648510394626042,0.0000000435012827310719,DD_to_IHD
People's Democratic Republic of Algeria,fit_ok,0.284165040271719,0.208520340824291,,fit_ok,0.0334676247017296,0.0148496330322504,,0.648510394626042,0.0371054099953959,DD_to_IHD
People's Republic of Bangladesh,fit_ok,0.443741276543711,0.118061142431403,,fit_ok,0.0000000000229231869503839,0.0507213470882331,,0.674888507351795,0.0000000000472356579583668,DD_to_IHD
People's Republic of China,fit_ok,0.00155662793864165,0.190387901684176,,fit_ok,0.0317810758606155,0.00977938913915962,,0.317552099482896,0.035428084565932,DD_to_IHD
Plurinational State of Bolivia,fit_ok,0.118386448945737,0.0136733974862624,,fit_ok,0.000727259087732753,0.0190636384750406,,0.648510394626042,0.000944973591703704,DD_to_IHD
Portuguese Republic,fit_ok,0.195053338193063,0.107860653392844,,fit_ok,0.00000000174249968204091,0.0618810618618265,,0.648510394626042,0.0000000032913882882995,DD_to_IHD
Principality of Andorra,fit_ok,0.247634838863379,0.0374523509895395,,fit_ok,0.0000000038731944918849,0.322555115965063,,0.648510394626042,0.00000000699231571986301,DD_to_IHD
