location_name,ISO3,longitude,latitude,selected_lag_BIC,primary_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,HC3_direction,IHD_to_DD_p_HC3,IHD_to_DD_q_HC3,DD_to_IHD_p_HC3,DD_to_IHD_q_HC3,IHD_to_DD_BG_p,DD_to_IHD_BG_p,diagnostics,small_island_excluded
Islamic Republic of Mauritania,MRT,-15.9785,18.0858,3,DD -> IHD,0.0411383254156904,0.486773875656861,0.00000000307976817432421,0.00000000519233642613337,Neither,0.776213583320759,0.916769859708322,0.35739510470565,0.83943457777099,0.209862555590316,0.379469106161543,Influence flag,FALSE
Islamic Republic of Pakistan,PAK,67.01,24.86,3,DD -> IHD,0.355456272546219,0.718816670460909,0.0000000709901931319717,0.000000111399995376325,Neither,0.805988384171359,0.916769859708322,0.200820552424313,0.772969673482261,0.0428848173411135,0.80673322558922,Residual serial correlation flag,FALSE
Jamaica,JAM,-76.7931,17.9714,3,DD -> IHD,0.425756561182057,0.718816670460909,0.000000000000000186660151506633,0.000000000000000568338371751539,Neither,0.838158959099726,0.916769859708322,0.363874916848622,0.843528216330897,0.289904886750571,0.15160734673509,Influence flag,TRUE
Japan,JPN,139.7495,35.687,2,DD -> IHD,0.500380964419804,0.718816670460909,0.0000000000000227149833042704,0.0000000000000558295975189296,DD -> IHD,0.696751130146649,0.916769859708322,0.000817140370626103,0.0185218484008583,0.03837485888827,0.245750191531197,Residual serial correlation flag,FALSE
Kingdom of Bahrain,BHR,50.5875,26.2233,2,DD -> IHD,0.248248273335927,0.718816670460909,0.00000000000000000000000101192721871041,0.0000000000000000000000103216576308462,Neither,0.627681393972149,0.916769859708322,0.321196453205648,0.827630372655187,0.318467935229519,0.0246806062452452,Residual serial correlation flag,TRUE
Kingdom of Belgium,BEL,4.3525,50.8467,3,DD -> IHD,0.646545652891041,0.749405188578252,0.000775482241490331,0.000982598616546755,Neither,0.938638375363462,0.943262209724858,0.669290028642532,0.965817692352022,0.194968042058141,0.721253846406632,Influence flag,FALSE
Kingdom of Bhutan,BTN,89.6361,27.4722,3,DD -> IHD,0.190778368415406,0.718816670460909,0.000000000000000000840636733039872,0.00000000000000000317573876926174,Neither,0.811702394693566,0.916769859708322,0.613784450085389,0.96316944474938,0.249149577938818,0.270473016253366,Influence flag,FALSE
Kingdom of Cambodia,KHM,104.921,11.5696,3,DD -> IHD,0.835290650259899,0.856277852527736,0.00000000000000000000427890955153371,0.0000000000000000000229709881187599,Neither,0.873775677246583,0.916769859708322,0.0890370085170482,0.534222051102289,0.793438199472798,0.423848398705846,Influence flag,FALSE
Kingdom of Denmark,DNK,12.5615,55.6805,2,DD -> IHD,0.28653430287625,0.718816670460909,0.00000000000000000000000000129318737019239,0.0000000000000000000000000534500929075645,Neither,0.50034474510454,0.916769859708322,0.0448597554883387,0.365616623123299,0.24065020723381,0.185749729799819,Influence flag,FALSE
Kingdom of Eswatini,SWZ,31.388,-26.495,3,DD -> IHD,0.862919793223636,0.871463553552582,0.0000000000000149387449120942,0.0000000000000380937995258401,Neither,0.907338900351611,0.92413243531043,0.998726251865621,0.998726251865621,0.719398649458357,0.557232406867421,Influence flag,FALSE
Kingdom of Lesotho,LSO,27.48,-29.31,2,DD -> IHD,0.441717005522321,0.718816670460909,0.00000000681968142130978,0.0000000113106911377821,Neither,0.639151591214443,0.916769859708322,0.955543277926687,0.998138144554251,0.22563831404684,0.046170246648821,Residual serial correlation flag,FALSE
Kingdom of Morocco,MAR,-7.5833,33.5333,2,Neither,0.169060613782816,0.718816670460909,0.0514205047202478,0.0567015295293544,Neither,0.624157409643628,0.916769859708322,0.389579221960986,0.883046236444902,0.219102448131799,0.973647480100339,Influence flag,FALSE
Kingdom of Norway,NOR,10.7389,59.9133,3,DD -> IHD,0.671320979852505,0.769379100505118,0.00000542812583123413,0.0000077436200669354,DD -> IHD,0.79028283008314,0.916769859708322,0.000329202041801127,0.0111928694212383,0.750029452983917,0.031125449532466,Residual serial correlation flag,FALSE
