location_name,n_years_levels,n_annual_changes,selected_lag_BIC,lag_selection_warning,lag_selection_error,adf_IHD_level_p,adf_DD_level_p,adf_IHD_log_change_p,adf_DD_log_change_p,IHD_to_DD_status,IHD_to_DD_n,IHD_to_DD_residual_df,IHD_to_DD_F,IHD_to_DD_df_num,IHD_to_DD_df_den,IHD_to_DD_p,IHD_to_DD_p_HC3,IHD_to_DD_beta_lag1,IHD_to_DD_HAC_SE_lag1,IHD_to_DD_HC3_SE_lag1,IHD_to_DD_BG_p,IHD_to_DD_BP_p,IHD_to_DD_Shapiro_p,IHD_to_DD_max_CooksD,IHD_to_DD_condition_number,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_n,DD_to_IHD_residual_df,DD_to_IHD_F,DD_to_IHD_df_num,DD_to_IHD_df_den,DD_to_IHD_p,DD_to_IHD_p_HC3,DD_to_IHD_beta_lag1,DD_to_IHD_HAC_SE_lag1,DD_to_IHD_HC3_SE_lag1,DD_to_IHD_BG_p,DD_to_IHD_BP_p,DD_to_IHD_Shapiro_p,DD_to_IHD_max_CooksD,DD_to_IHD_condition_number,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,IHD_to_DD_q_HC3,DD_to_IHD_q_HC3,direction,direction_HC3,diagnostics,ISO3,small_island_excluded
Brunei Darussalam,30,29,2,,,0.402175070662581,0.99,0.778383448194242,0.99,fit_ok,27,21,1.26254783559127,2,21,0.30354488063193,0.557385709844541,2.59226914971591,1.87289697719071,2.38988921845004,0.0772280950952905,0.00822628931843161,0.0000384000168995853,18.6873168467454,1002.14737157709,,fit_ok,27,21,363.708277999406,2,21,0.0000000000000000506753830794945,0.655169601709607,-0.200396292115505,0.00763037702869636,0.317237300612095,0.586015059629215,0.931662351035134,0.520120610729511,74.091473022917,1002.14737157709,,0.718816670460909,0.000000000000000164091716638363,0.916769859708321,0.965817692352022,DD_to_IHD,Neither,Influence flag,BRN,FALSE
Burkina Faso,30,29,3,,,0.01,0.0925286865735542,0.01,0.15887700335654,fit_ok,26,18,1.48315690254148,3,18,0.252739684683083,0.910542252438218,-0.695538866010844,1.99671420993907,7.48938419245506,0.0608742845990854,0.0866353731470127,0.00023208239656471,19.6038827647103,4528.23836617043,,fit_ok,26,18,22.0044785731531,3,18,0.00000301158552197816,0.319038419522561,-0.0513144544281174,0.0130194155078275,0.0893463183286104,0.779469991802421,0.510630001865248,0.98751911988739,8.20773054932506,4528.23836617044,,0.718816670460909,0.00000445190903248946,0.92413243531043,0.827630372655187,DD_to_IHD,Neither,Influence flag,BFA,FALSE
Canada,30,29,2,,,0.474545049115649,0.99,0.01,0.99,fit_ok,27,21,0.758527120044955,2,21,0.480763034844684,0.618920765726806,0.875975682696544,0.711206105579158,0.905466466228582,0.152651669177094,0.0408255578707292,0.000571678706368455,7.25041598386602,1708.84766993706,,fit_ok,27,21,4.53778534446081,2,21,0.0230174329785636,0.0757033862929944,-0.0531848757384401,0.0193820987007235,0.148845504735652,0.0160973974362388,0.482798757882999,0.397822387314859,4.57200374371682,1708.84766993706,,0.718816670460909,0.0259423001526352,0.916769859708321,0.498177122702285,DD_to_IHD,Neither,Residual serial correlation flag,CAN,FALSE
Central African Republic,30,29,2,,,0.964505062732707,0.99,0.920143742988421,0.99,fit_ok,27,21,0.988651987673428,2,21,0.388742803715453,0.63047426728723,-3.34934413699303,4.07434512894533,4.06847472874486,0.885472802658058,0.185131577942667,0.00000142534111291361,133.248335979115,1551.08597137992,,fit_ok,27,21,676.859865830403,2,21,0.0000000000000000000855172741194249,0.583538211125255,0.165773674424443,0.00456532146918333,0.31410314613514,0.229182461274979,0.40127485194901,0.492658176444019,625.850703656978,1551.08597137992,,0.718816670460909,0.000000000000000000371181360007717,0.916769859708321,0.952675610449615,DD_to_IHD,Neither,Influence flag,CAF,FALSE
Commonwealth of Dominica,30,29,3,,,0.0966498827227324,0.99,0.196785517359313,0.99,fit_ok,26,18,1.00095825075031,3,18,0.415077055793256,0.836194687459427,-11.2150985867083,7.90465758170816,12.224571264157,0.186099109084975,0.139096991583532,0.000316760225258531,6.26478774650727,2089.89342510209,,fit_ok,26,18,0.19193825578268,3,18,0.900507394568964,0.993245310512318,0.0121663246022136,0.0317904637317164,0.0944221559589615,0.861081890905368,0.150584550362413,0.0838148772143919,6.98044435716972,2089.89342510209,,0.718816670460909,0.904943391586545,0.916769859708321,0.998138144554251,Neither,Neither,Influence flag,DMA,TRUE
Commonwealth of the Bahamas,30,29,3,,,0.01,0.99,0.0172852910887538,0.99,fit_ok,26,18,1.48880186348582,3,18,0.251285264869039,0.83313604058499,-15.726297709039,8.69204787462637,16.9498182769936,0.439272287332673,0.00901731044082113,0.00858546972507855,190.881124907406,2466.37487005907,,fit_ok,26,18,20.5064847635388,3,18,0.00000490588420268486,0.931926071053444,0.0642020752668793,0.0205872639889772,0.27236601288132,0.884573905405328,0.0445589821311893,0.0312538270181777,183.567064861069,2466.37487005907,,0.718816670460909,0.00000704788998132192,0.916769859708321,0.998138144554251,DD_to_IHD,Neither,Influence flag,BHS,TRUE
Cook Islands,30,29,3,,,0.176016856130803,0.99,0.92301648071214,0.99,fit_ok,26,18,0.955779478655034,3,18,0.434820689202426,0.811779548812426,-5.66246391752249,3.56338914248588,6.37503037956032,0.14506194321007,0.0392832652610115,0.000786230848803186,30.0786315711484,5337.79405016813,,fit_ok,26,18,10.7547690526298,3,18,0.000280894796154602,0.859009157484494,0.183601026476777,0.0821430705523843,0.365501255063096,0.105949160137714,0.0576805313096786,0.0668343929346706,24.8213800731966,5337.79405016814,,0.718816670460909,0.000364984321118082,0.916769859708321,0.995669705266119,DD_to_IHD,Neither,Influence flag,COK,TRUE
Czech Republic,30,29,3,,,0.633345178226825,0.99,0.274256223720701,0.99,fit_ok,26,18,1.24345651287462,3,18,0.32327688798614,0.81321028589877,-1.46924991204935,0.90177995865588,1.82193918225909,0.245261826176984,0.0775488059918311,0.0019148927520555,264.341362774196,1080.82497598179,,fit_ok,26,18,6.93968181316514,3,18,0.00266393490257585,0.314552210853704,0.056677630264512,0.0271337576886588,0.32579162865395,0.124666429645864,0.541201108886657,0.113272474449495,16.8403444108377,1080.82497598179,,0.718816670460909,0.00319672188309102,0.916769859708321,0.827630372655187,DD_to_IHD,Neither,Influence flag,CZE,FALSE
Democratic People's Republic of Korea,30,29,2,,,0.99,0.99,0.434996428562331,0.99,fit_ok,27,21,1.49101270392531,2,21,0.248028209270584,0.377036449972928,0.755641801273042,0.714060903729402,0.741963096704352,0.777377465520653,0.521008474196935,0.0000000744797968104101,1.00561088556567,1060.36354458475,,fit_ok,27,21,155.143181866201,2,21,0.000000000000263733449183184,0.489099070408621,-0.809545442651652,0.0470662691120177,0.777350438344963,0.0365663273204601,0.788271001987089,0.0791429793715726,46.1041271689468,1060.36354458475,,0.718816670460909,0.000000000000591226633333731,0.916769859708321,0.945467922761366,DD_to_IHD,Neither,Residual serial correlation flag,PRK,FALSE
Democratic Republic of Sao Tome and Principe,30,29,2,,,0.745369525544883,0.99,0.519052434361053,0.99,fit_ok,27,21,1.98406514490297,2,21,0.162461090691404,0.508186226667756,2.09281889155595,2.02100119048311,7.95184812916357,0.105235044803045,0.0974149011812389,0.0000015324954545984,149.57140645367,2752.64111487166,,fit_ok,27,21,290.04864513917,2,21,0.000000000000000506270366620478,0.0636384668430449,-0.0762604322373945,0.00337368715354809,0.0382623307945076,0.241444390218011,0.462384743409975,0.0299977776126475,9.9300452733097,2752.64111487165,,0.718816670460909,0.00000000000000143443270542469,0.916769859708321,0.447663697792454,DD_to_IHD,Neither,Influence flag,STP,TRUE
