location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Islamic Republic of Iran,Female,20,-0.17372534901083,0.463865884210061,0.621323400429744,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.660202836965815,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Islamic Republic of Iran,Male,20,-0.0600607666583557,0.801403175957358,0.851490874454692,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.866823843382449,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Islamic Republic of Mauritania,Female,20,0.762379879869932,0.0000931976018335884,0.00316871846234201,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.00278444594469135,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Islamic Republic of Mauritania,Male,20,0.817859023845509,0.0000105949450406244,0.000240152087587486,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00021057453268241,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Islamic Republic of Pakistan,Female,20,0.409488886945002,0.072981649313843,0.158385707021532,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.16343777804086,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Islamic Republic of Pakistan,Male,20,0.558192222219051,0.0105348304596569,0.0218223745483308,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0205347918319748,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Japan,Female,20,0.195298364998868,0.409284537654179,0.571877025215429,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.608189172775836,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Japan,Male,20,0.0214489130647358,0.928481200592534,0.951809873974256,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.958626694118266,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Belgium,Female,20,-0.0358278048868992,0.880798257502581,0.930327416291984,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.932281885653942,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Belgium,Male,20,0.0767779033000473,0.74765903409459,0.804712358228741,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.821851262410084,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Bhutan,Female,20,0.422459658150933,0.0635078171774281,0.150646450048783,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.148496219576633,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Bhutan,Male,20,0.619769232422067,0.00356059646071543,0.00971334206974769,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00835002913651537,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Cambodia,Female,20,0.32306625629785,0.164724014732031,0.284777110214698,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.291012426026588,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
